Index	Anomalo	Cosine distance
25	No	0.02778879449117011
26	Si	0.05931894169752272
81	No	0.010871693489237777
82	Si	0.07330551350792547
141	No	0.03131250329642299
142	Si	0.0393965106382177
152	No	0.01938268993867709
153	Si	0.02598689095459017
187	No	0.009974987075688113
188	Si	0.020252144437057584
204	No	0.01848881759983234
205	Si	0.017218302138751196

