Index,Affluenza,Anomalous
1,1,1
1,0,1
1,0.299890843,1
1,0.195044014,1
1,0.198812234,1
1,0.194608629,1
1,0.195873222,1
1,0,1
1,0.583615184,1
1,0.653947166,1
1,0.659252614,1
1,0.658227683,1
1,0.657949626,1
1,0.658153973,1
1,0.659845219,1
1,0.653915704,1
1,0.659571343,1
1,0.662061246,1
1,0.662021517,1
1,0.623036198,1
1,0.66096315,1
1,0.330982539,1
2,0.231141759,1
2,0.011123882,0
2,0.010476928,0
2,0.091583062,0
2,0.412114195,0
2,0.481716537,0
2,0.488836781,0
2,0.469054249,0
2,0.480199707,0
2,0.475045932,0
2,0.451348828,0
2,0.470312201,0
2,0.489157337,0
2,0.477206275,0
2,0.478211228,0
2,0.796294034,0
2,0.999991612,0
2,1,0
2,0.987556703,0
2,0.744305585,0
2,0.464342317,0
2,0.317293995,0
2,0.139459474,0
3,0,0
3,0.180894764,0
3,0.179121351,0
3,0.259688229,0
3,0.523400975,0
3,0.71870282,0
3,0.71537609,0
3,0.56949775,0
3,0.573624922,0
3,0.575921309,0
3,0.575847457,0
3,0.576383635,0
3,0.578802716,0
3,0.574313648,0
3,0.585761064,0
3,0.826930285,0
3,0.999450446,0
3,1,0
3,1,0
3,0.997817339,0
3,0.772372593,0
3,0.461212208,0
3,0,0
4,0.226510224,0
4,0.013259266,0
4,0.011734068,0
4,0.074917175,0
4,0.334623396,0
4,0.482466397,0
4,0.485853299,0
4,0.484902056,0
4,0.475944882,0
4,0.483440983,0
4,0.481498633,0
4,0.470110447,0
4,0.483831827,0
4,0.454086663,0
4,0.478784777,0
4,0.785790667,0
4,0.996539761,0
4,1,0
4,1,0
4,0.999842546,0
4,0.695628685,0
4,0.329589581,0
4,0.141355123,0
5,0,0
5,0.000431279,0
5,0,0
5,0.073301772,0
5,0.347565055,0
5,0.469010094,0
5,0.478701872,0
5,0.478418198,0
5,0.455285623,0
5,0.477261892,0
5,0.455598588,0
5,0.468793811,0
5,0.478417831,0
5,0.419580862,0
5,0.480139384,0
5,0.717256618,0
5,0.974821273,0
5,1,0
5,1,0
5,1,0
5,0.957489889,0
5,0.673245635,0
5,0.394636735,0
6,0.130441027,0
6,0.181233437,0
6,0.181228927,0
6,0.274471484,0
6,0.647636353,0
6,0.713988252,0
6,0.71870282,0
6,0.71870282,0
6,0.594394332,0
6,0.575099832,0
6,0.582850337,0
6,0.684894763,0
6,0.693788333,0
6,0.570798365,0
6,0.632251067,0
6,0.877666971,0
6,1,0
6,1,0
6,1,0
6,1,0
6,0.786571966,0
6,0.567841305,0
6,0,0
7,0.23786702,0
7,0.180991582,0
7,0.180097745,0
7,0.248268178,0
7,0.464878391,0
7,0.570180656,0
7,0.571007717,0
7,0.571129217,0
7,0.57607941,0
7,0.576776027,0
7,0.576353205,0
7,0.575027756,0
7,0.571207482,0
7,0.524995897,0
7,0.544571663,0
7,0.798026549,0
7,0.995908916,0
7,1,0
7,1,0
7,0.999836523,0
7,0.794739307,0
7,0.482264463,0
7,0,0
8,0.230620271,0
8,0.176611595,0
8,0.175840388,0
8,0.255555306,0
8,0.501617838,0
8,0.684498335,0
8,0.71870282,0
8,0.557936784,0
8,0.574637361,0
8,0.576219733,0
8,0.576023007,0
8,0.57763468,0
8,0.576385328,0
8,0.56050419,0
8,0.540553078,0
8,0.828444998,0
8,0.998992697,0
8,1,0
8,1,0
8,1,0
8,0.756494728,0
8,0.478808408,0
8,0,0
9,0.287481128,0
9,0.180409664,0
9,0.179439722,0
9,0.241239421,0
9,0.443333103,0
9,0.578416217,0
9,0.574261696,0
9,0.572237678,0
9,0.558010282,0
9,0.574962256,0
9,0.570254771,0
9,0.571562611,0
9,0.532659117,0
9,0.574962256,0
9,0.498004455,0
9,0.74288341,0
9,0.920145513,0
9,1,0
9,1,0
9,1,0
9,0.999917255,0
9,0.75974721,0
9,0.51033039,0
10,0,0
10,0.172869682,1
10,0.18427293,1
10,0.180068396,1
10,0.200361018,1
10,0,1
10,0.484419233,1
10,0.561061611,1
10,0.564391264,1
10,0.762926992,1
10,0.813266984,1
10,0.818590485,1
10,0.84473188,1
