Anomalous,Cluster,Day,Month,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,0,1,1,1,0,0.299890843006513,0.195044014019326,0.198812234343099,0.194608629371612,0.195873221700534,0,0.583615183701878,0.653947165851926,0.659252614296578,0.658227682832466,0.657949626242911,0.658153972787565,0.659845219149165,0.653915703787933,0.659571343055467,0.662061245988125,0.662021517169433,0.623036198460715,0.660963150445381,0.330982539053282,0.231141758798347
0,1,2,1,0.174002633779448,0.181794500058363,0.178889335639729,0.155451962389229,0.287481127848009,0,0,0.573152572353056,0.543980369199505,0.551715660735948,0.564567296697708,0.573201400263609,0.570098278180749,0.568823669439404,0.796384087850698,0.841167339507564,0.996798544745093,0.957883785591093,0.992236420261489,1,1,1,0.93894378502975
0,1,3,1,0.440282061270347,0.244073007665684,0.18111329392414,0.178846155998051,0.169369830588644,0.206202387420917,0,0.543935363919412,0.555504376676417,0.572593873569877,0.594883495072831,0.653250194190734,0.569473243522729,0.576976503379783,0.756428427346955,0.982452564041615,1,1,1,1,1,0.9980105546195,0.794554766094107
0,2,4,1,0.52200292633957,0.314627518815994,0.218219823286538,0.212211056932614,0.198227033106718,0.340507821416669,0.527276992334694,0.682056205932549,0.703583216931568,0.830986811732198,0.716250594755885,0.702274614057099,0.710184513857985,0.717068410917257,0.917096023549633,0.903571217428335,1,0.815096439103975,0.683556852870316,0.610982478946369,0,0.252500422505401,0.206939176304162
0,0,5,1,0.0111238823171337,0.0104769275911869,0.0915830617560105,0.412114195284238,0.481716537103367,0.488836780921061,0.469054249269388,0.480199707109442,0.475045931673283,0.451348827771712,0.470312201028582,0.489157337145318,0.477206275365363,0.478211227620479,0.796294034071938,0.999991611791205,1,0.987556702896442,0.744305584667324,0.464342317268714,0.317293994862894,0.139459473910115,0
0,0,6,1,0.180894763647734,0.179121350642964,0.259688229189631,0.523400975100692,0.718702819620022,0.715376090390805,0.569497750086303,0.573624921699677,0.575921309070468,0.575847456661482,0.57638363478324,0.578802716326223,0.574313648320045,0.585761064174712,0.826930284640289,0.999450445661703,1,1,0.997817338516624,0.772372593113897,0.461212208337966,0,0.226510223603228
0,0,7,1,0.0132592658560402,0.0117340681323592,0.0749171748221411,0.334623395821251,0.48246639717976,0.485853299201255,0.484902056258392,0.475944881975888,0.483440983484973,0.481498632589431,0.470110447107873,0.483831827325197,0.454086662606112,0.478784776758941,0.785790667052474,0.996539761273287,1,1,0.999842546253089,0.695628685452869,0.329589580971633,0.141355123379554,0
0,0,8,1,0.00043127904942332,0,0.0733017724750458,0.347565055273292,0.469010094180843,0.478701871585067,0.478418197589297,0.455285623440348,0.477261892362466,0.455598587776606,0.468793810624735,0.478417830644707,0.419580862000668,0.48013938385228,0.717256617707954,0.974821272604429,1,1,1,0.957489888992851,0.673245634968779,0.39463673468245,0.130441026630967
0,1,9,1,0.178772742422137,0.180862905502745,0.191886106975021,0,0,0,0.574962255696017,0,0,0,0.574962255696017,0.574962255696017,0,0.432105175332708,0.734410144112286,0.926875710210419,1,1,1,1,1,1,0.804592542347723
0,1,10,1,0.287481127848009,0.207179017641216,0.181431769992891,0.180103431594463,0.171433609902165,0.257393251940424,0,0.517878118814287,0.561545216888487,0.57425706350401,0.575788027014035,0.576238391031912,0.572959654710331,0.572493036327717,0.739577834972414,0.864620086761021,0.999956794667303,1,1,1,1,1,0.984115938670929
0,2,11,1,0.943815831663501,0.314468267646539,0.197603631618898,0.195667486364899,0.182098202057177,0.314605277221167,0.51130600285851,0.731135951006087,0.831400188754665,0.943815831663501,0.809214218304459,0.786513193052917,0.786513193052917,0.881970856850489,0.943815831663501,1,0.88301278083739,0.661099487470634,0.621661946409798,0.560248716206812,0,0.226826082063878,0.195732068403133
0,0,12,1,0.18123343741745,0.181228927245506,0.274471483529275,0.647636353365833,0.71398825187244,0.718702819620022,0.718702819620022,0.594394331731469,0.575099831870712,0.582850337112808,0.684894762774084,0.693788333362162,0.570798365093551,0.632251066578555,0.877666971334229,1,1,1,1,0.786571966087379,0.567841304809062,0,0.237867020128908
